pilot-001|historical-unreproducible|neutral-tie|experiments/minimal-coding-agent/subject/src/lib.rs@3f5de256365a238bbef3bf72ea67e6dc5e9c0ffc|experiments/minimal-coding-agent/TASK.md@ec8c569260a770290c9225227a15f383e4c39fb5|experiments/minimal-coding-agent/contract.bhcp@ace0647fb93012a3e3ceb53f22dc5bdc07b4fba9|experiments/minimal-coding-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:b7a1092d7143aaf79d5d51ee08e4c884be46df5ca87012573d197bf5f06f8b8688860b0b80b84bc95fad79c764c37e75877c3dbfb06bcbb4590aaf71dbcdd776|none|codex-cli=0.142.4;model=unrecorded-default;reasoning=medium|experiments/minimal-coding-agent/oracle/tests/invariants.rs@74f264edd9cfa257d1fd30db992bef8ea43f93a6|experiments/minimal-coding-agent/results/pilot-001/README.md@6ca1832d2c2aa174282c912e94cdafba9cd3a6b4|tests/coding_agent_experiment.rs@1854a23782894cf7cbca3125090c9ae13f1f8886|pinned_subject_passes_public_tests_while_invariant_oracle_rejects_it|none|#6|93e3cc6b892bd4373fc112e74cd52de75fe82594
pilot-002|historical-replay|neutral-tie|experiments/minimal-coding-agent/subject/src/lib.rs@3f5de256365a238bbef3bf72ea67e6dc5e9c0ffc|experiments/minimal-coding-agent/TASK.md@ec8c569260a770290c9225227a15f383e4c39fb5|experiments/minimal-coding-agent/contract.bhcp@ace0647fb93012a3e3ceb53f22dc5bdc07b4fba9|experiments/minimal-coding-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:b7a1092d7143aaf79d5d51ee08e4c884be46df5ca87012573d197bf5f06f8b8688860b0b80b84bc95fad79c764c37e75877c3dbfb06bcbb4590aaf71dbcdd776|none|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/minimal-coding-agent/oracle/tests/invariants.rs@74f264edd9cfa257d1fd30db992bef8ea43f93a6|experiments/minimal-coding-agent/results/pilot-002/README.md@5fe48fdadf2f333bfc4521b7df4b6b241d41ef91|tests/coding_agent_experiment.rs@1854a23782894cf7cbca3125090c9ae13f1f8886|pinned_subject_passes_public_tests_while_invariant_oracle_rejects_it|none|#6|93e3cc6b892bd4373fc112e74cd52de75fe82594
pilot-003|historical-replay|neutral-tie|experiments/policy-resolution-agent/subject/src/lib.rs@f84499b07f4e01f009ecb9bba4be3798a31e3f73|experiments/policy-resolution-agent/TASK.md@24b59e45b3a3f7bfde0d6a54f3eb5d3b988537c0|experiments/policy-resolution-agent/contract.bhcp@bb8c0cfdcc613c5b2fd7038685396157904e2d56|experiments/policy-resolution-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:d10ead1268ed05db2bfbc018756555804360fc6aa3369ea96a71adf0750850460d0d834160c6c617da1a4347c928885b5a5a3b29b93d5ab29252dbd9e3156880|experiments/policy-resolution-agent/results/pilot-003/evaluated-skill/SKILL.md@39f4c88528d5c7256aef1427279abcae5f261e77|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/policy-resolution-agent/oracle/tests/invariants.rs@e31138adf60ea26db22663df5dd0f40b2bbae862|experiments/policy-resolution-agent/results/pilot-003/README.md@7707d9275ff36b11b2bbd27ca4ce342e85ca1def|tests/policy_resolution_experiment.rs@4a2b54ef61d277c19a203b0a2859a641c50e7dbe|pinned_subject_passes_public_tests_while_policy_oracle_rejects_it|none|#6|93e3cc6b892bd4373fc112e74cd52de75fe82594
pilot-004|historical-replay|narrow-positive|experiments/policy-resolution-agent/subject/src/lib.rs@f84499b07f4e01f009ecb9bba4be3798a31e3f73|experiments/policy-resolution-agent/results/pilot-004/refined-task.md@5b30594b6099af66291a19abfab3b62bd5db7db1|experiments/policy-resolution-agent/contract.bhcp@bb8c0cfdcc613c5b2fd7038685396157904e2d56|experiments/policy-resolution-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:d10ead1268ed05db2bfbc018756555804360fc6aa3369ea96a71adf0750850460d0d834160c6c617da1a4347c928885b5a5a3b29b93d5ab29252dbd9e3156880|experiments/policy-resolution-agent/results/pilot-004/evaluated-skill/SKILL.md@c516e2e71dbe843280f953fa1dca182a18dcd4fe|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/policy-resolution-agent/oracle/tests/invariants.rs@e31138adf60ea26db22663df5dd0f40b2bbae862|experiments/policy-resolution-agent/results/pilot-004/README.md@116b93c65ce5da7d57e24879fc6312b174db6412|tests/policy_resolution_experiment.rs@4a2b54ef61d277c19a203b0a2859a641c50e7dbe|pinned_subject_passes_public_tests_while_policy_oracle_rejects_it|none|#8|98092552efda108cd3ce02e3787ad38239e09066
pilot-005|historical-replay|narrow-efficiency|experiments/policy-resolution-agent/subject/src/lib.rs@f84499b07f4e01f009ecb9bba4be3798a31e3f73|experiments/policy-resolution-agent/results/pilot-004/refined-task.md@5b30594b6099af66291a19abfab3b62bd5db7db1|experiments/policy-resolution-agent/contract.bhcp@bb8c0cfdcc613c5b2fd7038685396157904e2d56|experiments/policy-resolution-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:d10ead1268ed05db2bfbc018756555804360fc6aa3369ea96a71adf0750850460d0d834160c6c617da1a4347c928885b5a5a3b29b93d5ab29252dbd9e3156880|experiments/policy-resolution-agent/results/pilot-005/evaluated-skill/SKILL.md@b1a2f5fdfb3044be679f1e947bf1a1e56957e278|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/policy-resolution-agent/oracle/tests/invariants.rs@e31138adf60ea26db22663df5dd0f40b2bbae862|experiments/policy-resolution-agent/results/pilot-005/README.md@7083083aa9e4545138106b9b76e6a9f155c75be5|tests/policy_resolution_experiment.rs@4a2b54ef61d277c19a203b0a2859a641c50e7dbe|pinned_subject_passes_public_tests_while_policy_oracle_rejects_it|none|#9|64b5d164e4083041da0bbb09f10d5840a04f35d8
pilot-006|historical-replay|mixed|experiments/contextual-policy-agent/subject/src/lib.rs@3f126bfde1c0e06309686c9c3514548759d650eb|experiments/contextual-policy-agent/TASK.md@82ae3d3545ee1f73fe6ed7180a1278e4680ab420|experiments/contextual-policy-agent/contract.bhcp@dfb58210587b15abfc0d0cbaa337a653b5d6dd29|experiments/contextual-policy-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:f66185376bb6dcdc316914002ea0d7e21a289cf3c720d2490c5e0ea247df9e400d70f709ca85ea5b96e6b137b92da7c19544719cb73bca75853d2e2a357f168e|experiments/contextual-policy-agent/results/pilot-006/evaluated-skill/SKILL.md@b1a2f5fdfb3044be679f1e947bf1a1e56957e278,experiments/contextual-policy-agent/results/pilot-006/follow-up-skill/SKILL.md@7c6b39df7e7682afa59e2d75d1f4cb13276ea2c7|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/contextual-policy-agent/oracle/tests/invariants.rs@3667d107a7777a09f71a69c871802c0f4e07dde1|experiments/contextual-policy-agent/results/pilot-006/README.md@abc6a49929291c27add868624a553f5864346f07|tests/contextual_policy_experiment.rs@637e1ab126088ed441e11763483860d5a91e1358|pilot_006_preserves_the_negative_result_and_latest_skill_follow_up|#21|#86|b227ce10e6e7e20c610c4d061a8cdb4fd15fd10c
contextual-policy-multiseed-001|infrastructure-invalid|invalid|experiments/contextual-policy-agent/subject/src/lib.rs@3f126bfde1c0e06309686c9c3514548759d650eb|experiments/contextual-policy-agent/TASK.md@82ae3d3545ee1f73fe6ed7180a1278e4680ab420,experiments/contextual-policy-agent/MULTISEED_PROMPT.md@d3df4a0285c2b0d76b47b89d522c46096a6e0ea0|experiments/contextual-policy-agent/contract.bhcp@dfb58210587b15abfc0d0cbaa337a653b5d6dd29|experiments/contextual-policy-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:f66185376bb6dcdc316914002ea0d7e21a289cf3c720d2490c5e0ea247df9e400d70f709ca85ea5b96e6b137b92da7c19544719cb73bca75853d2e2a357f168e|experiments/contextual-policy-agent/results/pilot-006/evaluated-skill/SKILL.md@b1a2f5fdfb3044be679f1e947bf1a1e56957e278|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/contextual-policy-agent/oracle/tests/invariants.rs@3667d107a7777a09f71a69c871802c0f4e07dde1|experiments/contextual-policy-agent/results/multiseed-001/README.md@6e757398a59e5f0f6f494e51f4a90f8ce6943f77|tests/contextual_policy_experiment.rs@637e1ab126088ed441e11763483860d5a91e1358|multiseed_001_is_registered_against_the_exact_evaluated_skill|#26|#88|44bf1a1cf61f1829f3fbf839aea4067e06cb4a6c
contextual-policy-multiseed-002|infrastructure-invalid|invalid|experiments/contextual-policy-agent/subject/src/lib.rs@3f126bfde1c0e06309686c9c3514548759d650eb|experiments/contextual-policy-agent/TASK.md@82ae3d3545ee1f73fe6ed7180a1278e4680ab420,experiments/contextual-policy-agent/MULTISEED_PROMPT.md@d3df4a0285c2b0d76b47b89d522c46096a6e0ea0|experiments/contextual-policy-agent/contract.bhcp@dfb58210587b15abfc0d0cbaa337a653b5d6dd29|experiments/contextual-policy-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:f66185376bb6dcdc316914002ea0d7e21a289cf3c720d2490c5e0ea247df9e400d70f709ca85ea5b96e6b137b92da7c19544719cb73bca75853d2e2a357f168e|experiments/contextual-policy-agent/results/pilot-006/evaluated-skill/SKILL.md@b1a2f5fdfb3044be679f1e947bf1a1e56957e278|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/contextual-policy-agent/oracle/tests/invariants.rs@3667d107a7777a09f71a69c871802c0f4e07dde1|experiments/contextual-policy-agent/results/multiseed-002/README.md@f38f6ae30faa44e0f5f2f798dc2fe468d62d2c9f|tests/contextual_policy_experiment.rs@637e1ab126088ed441e11763483860d5a91e1358|multiseed_002_patches_replay_through_static_public_and_oracle_checks|#26|#88|44bf1a1cf61f1829f3fbf839aea4067e06cb4a6c
contextual-policy-multiseed-003|infrastructure-excluded|excluded|experiments/contextual-policy-agent/subject/src/lib.rs@3f126bfde1c0e06309686c9c3514548759d650eb|experiments/contextual-policy-agent/TASK.md@82ae3d3545ee1f73fe6ed7180a1278e4680ab420,experiments/contextual-policy-agent/MULTISEED_PROMPT.md@d3df4a0285c2b0d76b47b89d522c46096a6e0ea0|experiments/contextual-policy-agent/contract.bhcp@dfb58210587b15abfc0d0cbaa337a653b5d6dd29|experiments/contextual-policy-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:f66185376bb6dcdc316914002ea0d7e21a289cf3c720d2490c5e0ea247df9e400d70f709ca85ea5b96e6b137b92da7c19544719cb73bca75853d2e2a357f168e|experiments/contextual-policy-agent/results/pilot-006/evaluated-skill/SKILL.md@b1a2f5fdfb3044be679f1e947bf1a1e56957e278|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/contextual-policy-agent/oracle/tests/invariants.rs@3667d107a7777a09f71a69c871802c0f4e07dde1|experiments/contextual-policy-agent/results/multiseed-003/README.md@651546512cd267607c67c67a936dcb9792efc725|tests/contextual_policy_experiment.rs@637e1ab126088ed441e11763483860d5a91e1358|multiseed_002_patches_replay_through_static_public_and_oracle_checks|#26|#88|44bf1a1cf61f1829f3fbf839aea4067e06cb4a6c
contextual-policy-multiseed-004|admissible|valid-negative|experiments/contextual-policy-agent/subject/src/lib.rs@3f126bfde1c0e06309686c9c3514548759d650eb|experiments/contextual-policy-agent/TASK.md@82ae3d3545ee1f73fe6ed7180a1278e4680ab420,experiments/contextual-policy-agent/MULTISEED_PROMPT.md@d3df4a0285c2b0d76b47b89d522c46096a6e0ea0|experiments/contextual-policy-agent/contract.bhcp@dfb58210587b15abfc0d0cbaa337a653b5d6dd29|experiments/contextual-policy-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:f66185376bb6dcdc316914002ea0d7e21a289cf3c720d2490c5e0ea247df9e400d70f709ca85ea5b96e6b137b92da7c19544719cb73bca75853d2e2a357f168e|experiments/contextual-policy-agent/results/pilot-006/evaluated-skill/SKILL.md@b1a2f5fdfb3044be679f1e947bf1a1e56957e278|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/contextual-policy-agent/oracle/tests/invariants.rs@3667d107a7777a09f71a69c871802c0f4e07dde1|experiments/contextual-policy-agent/results/multiseed-004/README.md@d905bfbc858153a3b1018a8b1521db88a4e2c2c7|tests/contextual_policy_experiment.rs@637e1ab126088ed441e11763483860d5a91e1358|multiseed_004_preserves_the_registered_negative_result|#26|#88|44bf1a1cf61f1829f3fbf839aea4067e06cb4a6c
in-session-evidence-forward-001|admissible|valid-negative|experiments/in-session-evidence-agent/subject/src/lib.rs@dd8aa9f724c2c7ee8e150d1b08b8800f3ec6ba6e|experiments/in-session-evidence-agent/TASK.md@7b7fe00b8c331406bc220f5c6c9244407247d932,experiments/in-session-evidence-agent/FORWARD_PROMPT.md@a55b67f0d8e354d338f7ac41610b1d407a988c8e|experiments/in-session-evidence-agent/contract.bhcp@de2f912e1d51614c3525410e7c3c14e816caad53,experiments/in-session-evidence-agent/bhcp-project.toml@2569c9f8fe206bb80cf76247688ab06a670c3b54|experiments/in-session-evidence-agent/contract.semantic-id.pre-effect-analysis|bhcp.hash/sha3-512@0:d0c385ddb98785ba943b32e104fd00a39ab6aaff4586ad9537179965c7640c48f6d099252707c7c422950238ae277f8cb4877eee773bbc52ac55012c4034cf56|experiments/contextual-policy-agent/results/pilot-006/evaluated-skill/SKILL.md@b1a2f5fdfb3044be679f1e947bf1a1e56957e278|codex-cli=0.142.4;model=gpt-5.4-mini;reasoning=medium|experiments/in-session-evidence-agent/oracle/tests/invariants.rs@67c1e5758fd2c90be72039f4a1ead0765ddc2a58|experiments/in-session-evidence-agent/results/forward-001/README.md@9dff2195c0390513679624bba5b78a1463d0aa62|tests/in_session_evidence_experiment.rs@932b2c48b48609c6b708ca3329c6fb81ddb6477a|forward_001_preserves_the_unreplaced_negative_result|#27|#89|ee7ee62649daa31b9216379b562e7f43442231da
